,Customer ID,Gender,Age,Married,Number of Dependents,Tenure in Months,Phone Service,Internet Service,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Revenue,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Customer Status,Churn Category
14,0019-GFNTW,Female,39,No,No,56,No,Yes,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,No,Yes,Yes,Yes,Yes,No,No,0,0
15,0020-INWCK,Female,58,Yes,Yes,71,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,8784.86,Yes,No,Yes,Yes,No,No,Yes,0,0
16,0020-JDNXP,Female,52,Yes,Yes,34,No,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,No,Yes,No,Yes,Yes,Yes,Yes,0,0
17,0021-IKXGC,Female,72,No,No,1,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,72.1,79.87,Yes,No,No,No,No,No,No,0,0
18,0022-TCJCI,Male,79,No,No,45,Yes,Yes,No,Yes,One Year,No,Credit Card,62.7,3271.65,No,Yes,No,Yes,No,No,Yes,1,2
19,0023-HGHWL,Male,67,No,No,1,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,No,No,No,No,No,No,No,1,1
20,0023-UYUPN,Female,79,Yes,No,50,Yes,No,No,No,One Year,No,Bank Withdrawal,25.2,2877.8,Yes,No,No,No,No,No,No,0,0
21,0023-XUOPT,Female,26,Yes,No,13,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1781.88,Yes,No,Yes,Yes,No,Yes,No,1,5
22,0027-KWYKW,Female,30,Yes,Yes,23,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,2652.88,Yes,No,No,No,No,Yes,No,0,0
23,0030-FNXPP,Female,22,No,No,3,Yes,No,No,No,Month-to-Month,No,Credit Card,19.85,66.56,No,No,No,No,No,No,No,0,0
24,0031-PVLZI,Female,34,Yes,No,4,Yes,No,No,No,Month-to-Month,No,Credit Card,20.35,126.07,No,No,No,No,No,No,No,1,4
25,0032-PGELS,Female,37,Yes,Yes,1,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,No,Yes,No,No,No,No,No,1,3
26,0036-IHMOT,Female,37,Yes,Yes,55,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,7603.95,No,No,Yes,Yes,Yes,Yes,Yes,0,0
27,0040-HALCW,Male,42,Yes,Yes,54,Yes,No,No,No,Two Year,No,Credit Card,20.4,2154.4,No,No,No,No,No,No,No,0,0
28,0042-JVWOJ,Male,64,No,No,26,Yes,No,No,No,One Year,Yes,Bank Withdrawal,19.6,1430.8,No,No,No,No,No,No,No,0,0
29,0042-RLHYP,Female,47,Yes,Yes,69,Yes,No,No,No,Two Year,No,Bank Withdrawal,19.7,4045.81,No,No,No,No,No,No,No,0,0
30,0048-LUMLS,Male,23,Yes,Yes,37,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,4838.92,No,No,No,No,No,Yes,Yes,0,0
31,0048-PIHNL,Female,48,Yes,No,49,Yes,No,No,No,One Year,No,Bank Withdrawal,20.45,3330.32,No,No,No,No,No,No,No,0,0
32,0052-DCKON,Male,28,Yes,No,66,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2.0,10830.97,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0
33,0052-YNYOT,Female,28,No,No,67,Yes,No,No,No,One Year,No,Bank Withdrawal,20.55,2861.91,No,No,No,No,No,No,No,0,0
34,0056-EPFBG,Male,33,Yes,Yes,20,No,Yes,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,No,Yes,No,Yes,Yes,No,No,0,0
35,0057-QBUQH,Female,31,No,Yes,43,Yes,No,No,No,Two Year,Yes,Bank Withdrawal,25.1,2387.67,Yes,No,No,No,No,No,No,0,0
36,0058-EVZWM,Female,37,Yes,No,55,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,5239.0,Yes,Yes,No,No,No,Yes,No,0,0
37,0060-FUALY,Female,60,Yes,No,59,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,6564.66,Yes,Yes,Yes,No,No,Yes,No,0,0
38,0064-SUDOG,Female,48,Yes,Yes,12,Yes,No,No,No,Two Year,No,Bank Withdrawal,20.3,455.86,No,No,No,No,No,No,No,0,0
39,0064-YIJGF,Male,60,Yes,Yes,27,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,2611.02,Yes,No,No,No,No,No,No,0,0
40,0067-DKWBL,Male,69,No,No,2,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,179.08,No,Yes,No,No,No,No,No,1,1
41,0068-FIGTF,Female,20,No,No,27,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,3399.52,No,No,Yes,Yes,Yes,Yes,Yes,0,0
42,0071-NDAFP,Male,31,Yes,Yes,25,Yes,No,No,No,Two Year,No,Credit Card,25.5,1178.43,Yes,No,No,No,No,No,No,0,0
43,0074-HDKDG,Male,46,Yes,No,25,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1727.35,No,Yes,Yes,Yes,No,No,No,0,0
44,0076-LVEPS,Male,57,No,Yes,29,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1230.19,No,Yes,Yes,Yes,Yes,No,No,0,0
45,0078-XZMHT,Male,19,Yes,No,72,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,8646.12,Yes,No,Yes,Yes,Yes,Yes,Yes,0,0
46,0080-EMYVY,Female,64,No,No,14,Yes,Yes,No,Yes,One Year,No,Credit Card,51.45,1064.41,No,No,Yes,No,No,No,No,0,0
47,0080-OROZO,Female,38,No,No,35,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,4806.7,No,No,No,Yes,Yes,Yes,Yes,0,0
48,0082-LDZUE,Male,54,No,No,1,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,44.3,87.25,No,No,No,No,No,No,No,0,0
49,0082-OQIQY,Male,50,No,No,29,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2687.05,No,No,No,No,Yes,Yes,Yes,0,0
50,0083-PIVIK,Male,25,No,No,64,Yes,Yes,No,No,One Year,No,Bank Withdrawal,81.25,5958.91,Yes,Yes,Yes,Yes,Yes,Yes,No,0,0
51,0089-IIQKO,Female,35,Yes,Yes,39,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,4718.22,Yes,No,No,No,Yes,Yes,Yes,0,0
52,0093-EXYQL,Female,72,No,No,40,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,5439.2,No,No,No,No,No,Yes,Yes,0,0
53,0093-XWZFY,Male,51,No,No,40,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,5544.45,Yes,No,Yes,Yes,No,Yes,Yes,1,1
54,0094-OIFMO,Female,78,No,Yes,11,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1367.79,No,No,Yes,No,No,Yes,Yes,1,2
55,0096-BXERS,Female,30,Yes,No,6,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,570.51,Yes,No,No,No,No,No,No,0,0
56,0096-FCPUF,Male,58,No,No,30,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1967.65,Yes,Yes,No,No,No,No,Yes,0,0
57,0098-BOWSO,Male,26,No,No,27,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.4,1087.62,No,No,No,No,No,No,No,0,0
58,0100-DUVFC,Male,66,Yes,No,70,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,10067.14,Yes,No,Yes,Yes,No,Yes,Yes,0,0
59,0103-CSITQ,Female,20,Yes,No,57,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6709.27,Yes,No,Yes,Yes,Yes,Yes,Yes,0,0
60,0104-PPXDV,Male,61,Yes,No,58,Yes,Yes,No,Yes,One Year,No,Credit Card,50.3,3933.78,No,No,No,Yes,No,No,No,0,0
61,0106-GHRQR,Male,24,No,No,16,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1623.46,Yes,No,Yes,Yes,No,No,Yes,0,0
62,0106-UGRDO,Female,55,Yes,No,69,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,10840.73,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0
63,0107-WESLM,Male,32,No,No,1,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.85,51.62,No,No,No,No,No,No,No,1,3
64,0107-YHINA,Male,59,No,No,1,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,140.46,Yes,No,No,Yes,No,Yes,Yes,1,1
65,0111-KLBQG,Male,71,Yes,Yes,32,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,3880.97,No,No,Yes,No,No,Yes,Yes,0,0
66,0112-QAWRZ,Male,49,Yes,Yes,16,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,2221.56,Yes,No,No,Yes,No,Yes,No,0,0
67,0112-QWPNC,Male,61,Yes,No,49,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,5997.3,Yes,Yes,No,Yes,Yes,Yes,Yes,1,1
68,0114-IGABW,Female,40,Yes,No,71,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,No,No,Yes,Yes,Yes,Yes,Yes,0,0
69,0114-PEGZZ,Female,39,No,No,33,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,5285.27,Yes,No,Yes,Yes,No,Yes,Yes,0,0
70,0114-RSRRW,Female,21,Yes,No,10,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.95,683.75,No,No,No,No,No,No,No,0,0
71,0115-TFERT,Male,24,Yes,No,21,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,3198.56,Yes,No,Yes,Yes,Yes,Yes,Yes,1,3
72,0117-LFRMW,Male,52,Yes,Yes,37,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,No,Yes,Yes,Yes,No,No,No,1,1
73,0118-JPNOY,Female,71,No,No,26,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,85.8,3070.89,No,Yes,No,No,No,Yes,No,0,0
74,0121-SNYRK,Male,45,No,No,50,No,Yes,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,No,Yes,No,No,Yes,No,No,0,0
75,0122-OAHPZ,Female,29,No,No,7,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,698.56,Yes,No,No,No,No,No,No,1,1
76,0123-CRBRT,Female,62,Yes,No,61,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,8405.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0
77,0125-LZQXK,Male,42,No,No,15,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,2242.75,No,No,No,Yes,Yes,Yes,Yes,1,3
78,0128-MKWSG,Female,51,No,Yes,26,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,1147.0,No,Yes,No,No,Yes,No,Yes,0,0
79,0129-KPTWJ,Male,39,Yes,No,72,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,9139.19,No,No,No,Yes,No,Yes,Yes,0,0
80,0129-QMPDR,Male,64,Yes,No,44,Yes,No,No,No,One Year,Yes,Bank Withdrawal,20.5,2070.65,No,No,No,No,No,No,No,0,0
81,0130-SXOUN,Male,55,No,No,66,Yes,Yes,Yes,No,Month-to-Month,No,Credit Card,89.4,9200.36,Yes,No,Yes,No,No,No,Yes,0,0
82,0133-BMFZO,Female,40,No,No,2,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,255.27,No,Yes,Yes,No,Yes,No,No,1,1
83,0134-XWXCE,Female,76,No,No,44,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,3589.82,No,No,No,Yes,Yes,Yes,Yes,0,0
84,0135-NMXAP,Female,57,No,No,12,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1224.96,Yes,No,Yes,No,No,Yes,No,1,3
85,0136-IFMYD,Male,71,Yes,No,69,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109.95,8904.54,Yes,No,Yes,Yes,Yes,Yes,Yes,0,0
86,0137-OCGAB,Female,25,No,No,1,Yes,Yes,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,81.43,Yes,No,Yes,No,No,No,No,1,4
87,0137-UDEUO,Female,24,No,No,3,Yes,No,No,No,Month-to-Month,No,Credit Card,19.85,141.0,No,No,No,No,No,No,No,1,4
88,0139-IVFJG,Female,19,Yes,No,2,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,90.35,199.8,No,Yes,Yes,No,No,Yes,No,0,0
89,0141-YEAYS,Female,77,No,No,27,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,86.45,2481.24,Yes,No,Yes,Yes,No,No,No,0,0
90,0142-GVYSN,Male,57,No,No,26,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.3,858.09,No,No,No,No,No,No,No,0,0
91,0147-ESWWR,Female,73,Yes,No,39,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,4735.0,Yes,No,No,No,Yes,Yes,Yes,0,0
92,0148-DCDOS,Male,41,No,No,25,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,3234.1,Yes,No,No,No,No,Yes,Yes,1,1
93,0151-ONTOV,Female,43,No,No,1,Yes,Yes,No,Yes,Month-to-Month,No,Mailed Check,70.9,110.71,No,No,No,No,No,No,No,1,1
94,0156-FVPTA,Male,48,Yes,No,22,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1751.98,No,Yes,No,No,Yes,No,No,1,3
95,0164-APGRB,Female,56,No,No,72,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9,11979.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0
96,0164-XAIRP,Female,51,No,No,24,Yes,No,No,No,Two Year,Yes,Bank Withdrawal,19.55,725.56,No,No,No,No,No,No,No,0,0
97,0168-XZKBB,Female,34,Yes,No,19,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85,1713.36,Yes,No,No,No,No,Yes,No,0,0
98,0174-QRVVY,Male,21,Yes,Yes,71,Yes,No,No,No,Two Year,No,Credit Card,25.35,2500.75,Yes,No,No,No,No,No,No,0,0
99,0177-PXBAT,Male,78,Yes,No,33,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,109.9,4524.65,Yes,Yes,No,Yes,Yes,Yes,Yes,0,0
100,0178-CIIKR,Female,60,No,No,3,Yes,No,No,No,Month-to-Month,No,Credit Card,19.95,66.07,No,No,No,No,No,No,No,0,0
101,0178-SZBHO,Male,54,Yes,Yes,47,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,87.2,4068.68,Yes,No,Yes,No,No,Yes,No,0,0
102,0181-RITDD,Male,42,Yes,Yes,62,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,108.15,6934.77,No,Yes,Yes,Yes,Yes,Yes,Yes,0,0
103,0186-CAERR,Male,22,No,No,71,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,116.3,8514.03,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0
104,0187-QSXOE,Male,71,Yes,No,7,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89.0,899.24,No,No,No,No,No,Yes,Yes,0,0
105,0187-WZNAB,Female,56,Yes,Yes,27,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,74.4,3232.17,No,Yes,No,No,No,No,No,0,0
106,0188-GWFLE,Male,33,No,No,2,Yes,No,No,No,Month-to-Month,No,Credit Card,20.05,37.32,No,No,No,No,No,No,No,0,0
107,0191-EQUUH,Female,32,No,Yes,25,No,Yes,No,Yes,Two Year,No,Bank Withdrawal,35.05,844.45,No,Yes,No,No,Yes,No,No,0,0
108,0191-ZHSKZ,Male,80,No,No,30,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,74.75,3269.6,No,Yes,Yes,No,No,Yes,Yes,0,0
109,0193-ESZXP,Female,73,Yes,No,58,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,105.5,7188.02,No,Yes,Yes,No,Yes,Yes,Yes,1,3
110,0195-IESCP,Male,26,Yes,No,10,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.25,975.5,Yes,No,No,No,No,No,Yes,1,1
111,0196-JTUQI,Female,59,No,No,9,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,75.2,717.28,Yes,No,No,No,No,No,No,0,0
112,0196-VULGZ,Female,78,Yes,No,6,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.35,647.16,Yes,No,No,No,No,No,Yes,1,5
113,0197-PNKNK,Female,47,Yes,Yes,69,Yes,Yes,No,No,One Year,No,Bank Withdrawal,84.45,8574.08,Yes,Yes,No,Yes,No,No,No,0,0
114,0201-MIBOL,Female,68,No,No,66,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,102.4,7161.55,Yes,Yes,No,No,No,Yes,Yes,0,0
115,0201-OAMXR,Female,30,No,No,70,Yes,Yes,Yes,Yes,One Year,No,Credit Card,115.55,8842.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,2
116,0203-HHYIJ,Male,62,No,No,25,Yes,No,No,No,One Year,No,Bank Withdrawal,25.3,815.6,Yes,No,No,No,No,No,No,1,4
117,0206-OYVOC,Female,52,Yes,Yes,46,Yes,No,No,No,Two Year,Yes,Credit Card,19.25,1983.38,No,No,No,No,No,No,No,0,0
118,0206-TBWLC,Female,63,Yes,No,54,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,114.65,6665.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0
119,0207-MDKNV,Female,54,No,No,15,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,105.1,1918.6,No,Yes,No,Yes,Yes,Yes,Yes,1,1
120,0208-BPQEJ,Female,48,Yes,Yes,12,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,19.4,297.1,No,No,No,No,No,No,No,0,0
121,0212-ISBBF,Female,51,No,No,22,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,50.35,1098.85,No,No,Yes,No,No,Yes,Yes,0,0
122,0214-JHPFW,Female,22,Yes,No,70,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,57.8,4038.29,No,No,Yes,Yes,Yes,Yes,Yes,0,0
123,0215-BQKGS,Male,52,No,No,30,Yes,Yes,No,No,Month-to-Month,Yes,Credit Card,84.3,3310.5,No,Yes,Yes,Yes,No,No,No,0,0
124,0218-QNVAS,Male,22,Yes,Yes,71,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,100.55,9108.9,Yes,No,Yes,No,No,Yes,Yes,0,0
125,0219-QAERP,Male,33,Yes,No,30,Yes,No,No,No,One Year,No,Credit Card,19.8,870.95,No,No,No,No,No,No,No,0,0
126,0219-YTZUE,Male,26,Yes,No,4,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.8,486.98,Yes,No,Yes,Yes,No,No,No,1,1
127,0220-EBGCE,Male,58,No,No,2,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.85,195.58,No,No,No,Yes,No,No,Yes,1,1
128,0221-NAUXK,Male,22,No,Yes,10,Yes,No,No,No,One Year,Yes,Bank Withdrawal,19.95,298.1,No,No,No,No,No,No,No,0,0
129,0221-WMXNQ,Male,66,No,No,4,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,75.35,419.0,No,Yes,No,No,No,No,No,0,0
130,0222-CNVPT,Male,69,No,No,52,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,48.8,2555.05,No,Yes,No,No,No,Yes,Yes,0,0
131,0224-HJAPT,Male,25,No,No,5,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,47.15,333.2,Yes,No,No,No,No,No,No,1,1
132,0224-NIJLP,Male,30,Yes,Yes,8,Yes,No,No,No,Two Year,No,Credit Card,20.15,188.46,No,No,No,No,No,No,No,0,0
133,0224-RLWWD,Female,73,No,No,2,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,44.3,137.12,No,No,No,No,No,No,No,0,0
134,0225-ZORZP,Male,46,No,No,3,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,84.3,276.21,No,No,Yes,No,No,No,Yes,0,0
135,0228-MAUWC,Male,40,No,No,19,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,59.55,1369.75,Yes,No,No,Yes,Yes,No,No,0,0
136,0229-LFJAF,Male,53,No,No,72,Yes,Yes,No,Yes,Two Year,No,Bank Withdrawal,69.65,5171.77,Yes,Yes,Yes,Yes,Yes,No,No,0,0
137,0230-UBYPQ,Male,76,Yes,No,63,No,Yes,No,Yes,One Year,No,Bank Withdrawal,36.1,2298.9,No,Yes,No,No,Yes,No,No,0,0
138,0230-WEQUW,Male,38,Yes,No,66,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,56.6,3789.2,No,Yes,Yes,Yes,Yes,Yes,No,0,0
139,0231-LXVAP,Male,23,No,No,1,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.9,120.46,No,No,No,No,Yes,No,No,1,1
140,0233-FTHAV,Female,24,No,No,60,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,79.2,5682.4,Yes,No,No,Yes,No,No,No,0,0
141,0234-TEVTT,Female,43,Yes,Yes,48,No,Yes,Yes,Yes,One Year,No,Credit Card,45.0,2196.3,No,Yes,No,Yes,No,No,Yes,0,0
142,0235-KGSLC,Female,45,No,No,1,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,85.55,118.89,No,No,No,Yes,No,Yes,No,1,5
143,0236-HFWSV,Male,49,No,No,15,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.35,2178.6,Yes,No,No,No,No,Yes,Yes,1,1
144,0237-YFUTL,Female,62,Yes,No,50,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,109.65,7134.3,Yes,Yes,Yes,No,Yes,Yes,Yes,0,0
145,0238-WHBIQ,Male,25,Yes,Yes,72,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,89.7,8769.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0
146,0239-OXEXL,Female,37,No,No,46,Yes,Yes,No,No,Month-to-Month,No,Credit Card,84.25,5938.02,Yes,Yes,Yes,No,No,No,No,0,0
147,0244-LGNFY,Female,35,Yes,Yes,72,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,92.65,8893.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0
148,0247-SLUJI,Male,37,Yes,Yes,1,Yes,No,No,No,Month-to-Month,No,Credit Card,19.7,53.98,No,No,No,No,No,No,No,0,0
149,0248-IPDFW,Female,19,No,No,1,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.1,79.23,Yes,No,No,No,No,No,No,0,0
150,0248-PGHBZ,Female,69,No,No,67,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,92.45,6313.04,No,Yes,Yes,No,Yes,Yes,No,0,0
151,0253-ZTEOB,Female,44,Yes,Yes,48,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,79.65,4299.42,Yes,No,Yes,No,Yes,Yes,Yes,0,0
152,0254-FNMCI,Female,19,No,No,72,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.9,10641.72,No,Yes,Yes,Yes,Yes,Yes,Yes,0,0
153,0254-KCJGT,Male,64,Yes,No,52,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,81.4,6504.13,Yes,Yes,Yes,Yes,Yes,No,Yes,0,0
154,0254-WWRKD,Female,44,Yes,Yes,67,Yes,Yes,No,Yes,One Year,No,Credit Card,50.55,6574.05,No,No,Yes,No,No,No,No,0,0
155,0256-LTHVJ,Female,58,Yes,No,28,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,81.05,2698.9,No,No,No,No,No,No,Yes,1,1
